
Name	Population	Type	Item Name	Intensity	Parent ID	Distance (µm)	Distance	Normalized Distance	Channel
Line Profile Sample 14 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2215	1	1.16	13	0.321	Hamamatsu C10600-10B
Line Profile Sample 15 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2265.4	1	1.25	14	0.346	Hamamatsu C10600-10B
Line Profile Sample 16 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2288.99	1	1.34	15	0.371	Hamamatsu C10600-10B
Line Profile Sample 17 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2244.12	1	1.43	16	0.395	Hamamatsu C10600-10B
Line Profile Sample 18 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2141.21	1	1.52	17	0.42	Hamamatsu C10600-10B
Line Profile Sample 19 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2231.55	1	1.61	18	0.445	Hamamatsu C10600-10B
Line Profile Sample 20 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2280.44	1	1.7	19	0.47	Hamamatsu C10600-10B
Line Profile Sample 21 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2264.54	1	1.79	20	0.494	Hamamatsu C10600-10B
Line Profile Sample 22 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2204.64	1	1.88	21	0.519	Hamamatsu C10600-10B
Line Profile Sample 23 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2181.21	1	1.97	22	0.544	Hamamatsu C10600-10B
Line Profile Sample 24 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2223.73	1	2.06	23	0.568	Hamamatsu C10600-10B
Line Profile Sample 25 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2248.53	1	2.14	24	0.593	Hamamatsu C10600-10B
Line Profile Sample 26 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2244.22	1	2.23	25	0.618	Hamamatsu C10600-10B
Line Profile Sample 27 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2248.83	1	2.32	26	0.643	Hamamatsu C10600-10B
Line Profile Sample 28 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2270.97	1	2.41	27	0.667	Hamamatsu C10600-10B
Line Profile Sample 29 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2269.96	1	2.5	28	0.692	Hamamatsu C10600-10B
Line Profile Sample 30 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2191.89	1	2.59	29	0.717	Hamamatsu C10600-10B
Line Profile Sample 31 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2249.56	1	2.68	30	0.741	Hamamatsu C10600-10B
Line Profile Sample 32 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2376.46	1	2.77	31	0.766	Hamamatsu C10600-10B
Line Profile Sample 33 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2478.68	1	2.86	32	0.791	Hamamatsu C10600-10B
Line Profile Sample 34 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2632.5	1	2.95	33	0.816	Hamamatsu C10600-10B
Line Profile Sample 35 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2753.91	1	3.04	34	0.84	Hamamatsu C10600-10B
Line Profile Sample 36 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	2915.92	1	3.13	35	0.865	Hamamatsu C10600-10B
Line Profile Sample 37 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 16	3118.65	1	3.22	36	0.89	Hamamatsu C10600-10B
