
ID	Name	Population	Type	Item Name	Total Line Length (µm)	Start Position X	Start Position Y	End Position X	End Position Y	Intensity	Angle (degrees)	Bearing (degrees)	Line Width (µm)	Parent ID	Distance (µm)	Distance	Normalized Distance
N/A	Line Profile Sample 16 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1358.87	N/A	N/A	N/A	1	1.34	15	0.559
N/A	Line Profile Sample 17 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1410.44	N/A	N/A	N/A	1	1.43	16	0.596
N/A	Line Profile Sample 18 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1389.84	N/A	N/A	N/A	1	1.52	17	0.634
N/A	Line Profile Sample 19 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1467.58	N/A	N/A	N/A	1	1.61	18	0.671
N/A	Line Profile Sample 20 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1431.22	N/A	N/A	N/A	1	1.7	19	0.708
N/A	Line Profile Sample 21 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1450.83	N/A	N/A	N/A	1	1.79	20	0.745
N/A	Line Profile Sample 22 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1599.47	N/A	N/A	N/A	1	1.88	21	0.783
N/A	Line Profile Sample 23 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1657.23	N/A	N/A	N/A	1	1.97	22	0.82
N/A	Line Profile Sample 24 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1718.37	N/A	N/A	N/A	1	2.06	23	0.857
N/A	Line Profile Sample 25 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1691.04	N/A	N/A	N/A	1	2.14	24	0.894
N/A	Line Profile Sample 26 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1520.44	N/A	N/A	N/A	1	2.23	25	0.932
N/A	Line Profile Sample 27 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1297.7	N/A	N/A	N/A	1	2.32	26	0.969
N/A	Line Profile Sample 28 for Lines 1	Lines 1 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1093	N/A	N/A	N/A	1	2.4	26.83	1
N/A	Line Profile Sample 1 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	777	N/A	N/A	N/A	2	0	0	0
N/A	Line Profile Sample 2 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	772.2	N/A	N/A	N/A	2	0.0894	1	0.0275
N/A	Line Profile Sample 3 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	784.47	N/A	N/A	N/A	2	0.179	2	0.055
N/A	Line Profile Sample 4 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	778.25	N/A	N/A	N/A	2	0.268	3	0.0825
N/A	Line Profile Sample 5 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	779.68	N/A	N/A	N/A	2	0.357	4	0.11
N/A	Line Profile Sample 6 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	779.82	N/A	N/A	N/A	2	0.447	5	0.138
N/A	Line Profile Sample 7 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	762.61	N/A	N/A	N/A	2	0.536	6	0.165
N/A	Line Profile Sample 8 for Lines 2	Lines 2 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	781.45	N/A	N/A	N/A	2	0.626	7	0.193
