
ID	Name	Population	Type	Item Name	Total Line Length (µm)	Start Position X	Start Position Y	End Position X	End Position Y	Intensity	Angle (degrees)	Bearing (degrees)	Line Width (µm)	Parent ID	Distance (µm)	Distance	Normalized Distance
N/A	Line Profile Sample 4 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1671.83	N/A	N/A	N/A	5	0.268	3	0.137
N/A	Line Profile Sample 5 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1733.17	N/A	N/A	N/A	5	0.357	4	0.183
N/A	Line Profile Sample 6 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1725.21	N/A	N/A	N/A	5	0.447	5	0.229
N/A	Line Profile Sample 7 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1764.58	N/A	N/A	N/A	5	0.536	6	0.275
N/A	Line Profile Sample 8 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1821.82	N/A	N/A	N/A	5	0.626	7	0.321
N/A	Line Profile Sample 9 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1836.18	N/A	N/A	N/A	5	0.715	8	0.366
N/A	Line Profile Sample 10 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1853.28	N/A	N/A	N/A	5	0.804	9	0.412
N/A	Line Profile Sample 11 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1890.14	N/A	N/A	N/A	5	0.894	10	0.458
N/A	Line Profile Sample 12 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1896.66	N/A	N/A	N/A	5	0.983	11	0.504
N/A	Line Profile Sample 13 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1890.81	N/A	N/A	N/A	5	1.07	12	0.549
N/A	Line Profile Sample 14 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1917.65	N/A	N/A	N/A	5	1.16	13	0.595
N/A	Line Profile Sample 15 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1964.94	N/A	N/A	N/A	5	1.25	14	0.641
N/A	Line Profile Sample 16 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1989.26	N/A	N/A	N/A	5	1.34	15	0.687
N/A	Line Profile Sample 17 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	2012.82	N/A	N/A	N/A	5	1.43	16	0.733
N/A	Line Profile Sample 18 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	2101.16	N/A	N/A	N/A	5	1.52	17	0.778
N/A	Line Profile Sample 19 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	2304.28	N/A	N/A	N/A	5	1.61	18	0.824
N/A	Line Profile Sample 20 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	2544.52	N/A	N/A	N/A	5	1.7	19	0.87
N/A	Line Profile Sample 21 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	2701.04	N/A	N/A	N/A	5	1.79	20	0.916
N/A	Line Profile Sample 22 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	2376.1	N/A	N/A	N/A	5	1.88	21	0.962
N/A	Line Profile Sample 23 for Lines 5	Lines 5 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1880	N/A	N/A	N/A	5	1.95	21.84	1
N/A	Line Profile Sample 1 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	761	N/A	N/A	N/A	6	0	0	0
N/A	Line Profile Sample 2 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	824	N/A	N/A	N/A	6	0.0894	1	0.0345
N/A	Line Profile Sample 3 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	978	N/A	N/A	N/A	6	0.179	2	0.069
N/A	Line Profile Sample 4 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1007	N/A	N/A	N/A	6	0.268	3	0.103
N/A	Line Profile Sample 5 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1074	N/A	N/A	N/A	6	0.357	4	0.138
N/A	Line Profile Sample 6 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1127	N/A	N/A	N/A	6	0.447	5	0.172
N/A	Line Profile Sample 7 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1363	N/A	N/A	N/A	6	0.536	6	0.207
N/A	Line Profile Sample 8 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1332	N/A	N/A	N/A	6	0.626	7	0.241
N/A	Line Profile Sample 9 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1391	N/A	N/A	N/A	6	0.715	8	0.276
N/A	Line Profile Sample 10 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1314	N/A	N/A	N/A	6	0.804	9	0.31
N/A	Line Profile Sample 11 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1269	N/A	N/A	N/A	6	0.894	10	0.345
N/A	Line Profile Sample 12 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1207	N/A	N/A	N/A	6	0.983	11	0.379
N/A	Line Profile Sample 13 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1128	N/A	N/A	N/A	6	1.07	12	0.414
N/A	Line Profile Sample 14 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1070	N/A	N/A	N/A	6	1.16	13	0.448
N/A	Line Profile Sample 15 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1166	N/A	N/A	N/A	6	1.25	14	0.483
N/A	Line Profile Sample 16 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1021	N/A	N/A	N/A	6	1.34	15	0.517
N/A	Line Profile Sample 17 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	983	N/A	N/A	N/A	6	1.43	16	0.552
N/A	Line Profile Sample 18 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	943	N/A	N/A	N/A	6	1.52	17	0.586
N/A	Line Profile Sample 19 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	982	N/A	N/A	N/A	6	1.61	18	0.621
N/A	Line Profile Sample 20 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	970	N/A	N/A	N/A	6	1.7	19	0.655
N/A	Line Profile Sample 21 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	877	N/A	N/A	N/A	6	1.79	20	0.69
N/A	Line Profile Sample 22 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	935	N/A	N/A	N/A	6	1.88	21	0.724
N/A	Line Profile Sample 23 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1001	N/A	N/A	N/A	6	1.97	22	0.759
N/A	Line Profile Sample 24 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	926	N/A	N/A	N/A	6	2.06	23	0.793
N/A	Line Profile Sample 25 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1029	N/A	N/A	N/A	6	2.14	24	0.828
N/A	Line Profile Sample 26 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	979	N/A	N/A	N/A	6	2.23	25	0.862
N/A	Line Profile Sample 27 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	994	N/A	N/A	N/A	6	2.32	26	0.897
N/A	Line Profile Sample 28 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1066	N/A	N/A	N/A	6	2.41	27	0.931
N/A	Line Profile Sample 29 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1029	N/A	N/A	N/A	6	2.5	28	0.966
N/A	Line Profile Sample 30 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1081	N/A	N/A	N/A	6	2.59	29	1
N/A	Line Profile Sample 31 for Lines 6	Lines 6 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	1081	N/A	N/A	N/A	6	2.59	29	1
N/A	Line Profile Sample 1 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	590	N/A	N/A	N/A	7	0	0	0
N/A	Line Profile Sample 2 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	594.77	N/A	N/A	N/A	7	0.0894	1	0.0333
N/A	Line Profile Sample 3 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	599.49	N/A	N/A	N/A	7	0.179	2	0.0666
N/A	Line Profile Sample 4 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	613.79	N/A	N/A	N/A	7	0.268	3	0.0999
N/A	Line Profile Sample 5 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	651.07	N/A	N/A	N/A	7	0.357	4	0.133
N/A	Line Profile Sample 6 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	725.21	N/A	N/A	N/A	7	0.447	5	0.167
N/A	Line Profile Sample 7 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	770.33	N/A	N/A	N/A	7	0.536	6	0.2
N/A	Line Profile Sample 8 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	831.94	N/A	N/A	N/A	7	0.626	7	0.233
N/A	Line Profile Sample 9 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	809.27	N/A	N/A	N/A	7	0.715	8	0.267
N/A	Line Profile Sample 10 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	797.76	N/A	N/A	N/A	7	0.804	9	0.3
N/A	Line Profile Sample 11 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	846.73	N/A	N/A	N/A	7	0.894	10	0.333
N/A	Line Profile Sample 12 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	817.28	N/A	N/A	N/A	7	0.983	11	0.366
N/A	Line Profile Sample 13 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	824.23	N/A	N/A	N/A	7	1.07	12	0.4
N/A	Line Profile Sample 14 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	803.78	N/A	N/A	N/A	7	1.16	13	0.433
N/A	Line Profile Sample 15 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	815.53	N/A	N/A	N/A	7	1.25	14	0.466
N/A	Line Profile Sample 16 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	833.35	N/A	N/A	N/A	7	1.34	15	0.5
N/A	Line Profile Sample 17 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	856.54	N/A	N/A	N/A	7	1.43	16	0.533
N/A	Line Profile Sample 18 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	859	N/A	N/A	N/A	7	1.52	17	0.566
N/A	Line Profile Sample 19 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	867.92	N/A	N/A	N/A	7	1.61	18	0.6
N/A	Line Profile Sample 20 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	836.83	N/A	N/A	N/A	7	1.7	19	0.633
N/A	Line Profile Sample 21 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	870.11	N/A	N/A	N/A	7	1.79	20	0.666
N/A	Line Profile Sample 22 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	825.92	N/A	N/A	N/A	7	1.88	21	0.7
N/A	Line Profile Sample 23 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	860.65	N/A	N/A	N/A	7	1.97	22	0.733
N/A	Line Profile Sample 24 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	850.4	N/A	N/A	N/A	7	2.06	23	0.766
N/A	Line Profile Sample 25 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	852.29	N/A	N/A	N/A	7	2.14	24	0.8
N/A	Line Profile Sample 26 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	888.15	N/A	N/A	N/A	7	2.23	25	0.833
N/A	Line Profile Sample 27 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	907.8	N/A	N/A	N/A	7	2.32	26	0.866
N/A	Line Profile Sample 28 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	896.39	N/A	N/A	N/A	7	2.41	27	0.9
N/A	Line Profile Sample 29 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	866.67	N/A	N/A	N/A	7	2.5	28	0.933
N/A	Line Profile Sample 30 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	839.48	N/A	N/A	N/A	7	2.59	29	0.966
N/A	Line Profile Sample 31 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	838.66	N/A	N/A	N/A	7	2.68	30	0.999
N/A	Line Profile Sample 32 for Lines 7	Lines 7 Profile Sample	Line Profile Sample	 24	N/A	N/A	N/A	N/A	N/A	838	N/A	N/A	N/A	7	2.68	30.02	1
