9,I,1571,1595.84,1535.51,1589.83,1525.21,1549.35,1654.64,1674.41,1679.83,1631.93,1623.38,1668.98,1728.47,1666.76,1626.51,1648.9,1641.7,1646.38,1644.39,1637.87,1686.01,1663.82,1621.8,1631.61,1678.31,1697.76,1641.32,1576.69,1601.65,1549.88,1542.85,1569.8,1497,,,,,,,,,,,,
,ND,0,0.0313,0.0626,0.0939,0.125,0.156,0.188,0.219,0.25,0.282,0.313,0.344,0.376,0.407,0.438,0.469,0.501,0.532,0.563,0.595,0.626,0.657,0.689,0.72,0.751,0.782,0.814,0.845,0.876,0.908,0.939,0.97,1,,,,,,,,,,,,
10,I,1690,1672.63,1679.06,1715.37,1781.31,1744.78,1756.38,1794.13,1774.45,1773.13,1775.06,1778.42,1811.86,1738.22,1690.72,1716.79,1796.55,1767.31,1764.62,1729.52,1809.22,1788.69,1728.55,1701.8,1653.01,1671.11,1681.57,1730.54,1613,,,,,,,,,,,,,,,,
,ND,0,0.0359,0.0718,0.108,0.144,0.179,0.215,0.251,0.287,0.323,0.359,0.395,0.431,0.467,0.503,0.538,0.574,0.61,0.646,0.682,0.718,0.754,0.79,0.826,0.862,0.897,0.933,0.969,1,,,,,,,,,,,,,,,,
11,I,1590,1657.54,1649.68,1706.73,1683.68,1634.6,1630.77,1662.34,1723.77,1621.24,1622.73,1627.65,1672.5,1670.44,1695.79,1697.11,1713.7,1726.26,1686.71,1636.08,1643.89,1674.44,1670.45,1658.28,1671.49,1705.31,1648.03,1656.94,1679.14,1700.25,1724.11,1688.63,1662,,,,,,,,,,,,
,ND,0,0.0317,0.0633,0.095,0.127,0.158,0.19,0.222,0.253,0.285,0.317,0.348,0.38,0.412,0.443,0.475,0.507,0.538,0.57,0.602,0.633,0.665,0.697,0.728,0.76,0.792,0.823,0.855,0.887,0.918,0.95,0.982,1,,,,,,,,,,,,
12,I,1961,1960.5,1981.05,2002.16,2033.11,1964.14,2016.87,1953.7,2006.32,2025.91,2029.27,2100.98,2117.64,2096.35,2085.79,1969.51,2016.56,2009.85,2107.73,2066.74,2064.86,2041.29,1997.42,1952.34,1949,,,,,,,,,,,,,,,,,,,,
,ND,0,0.0434,0.0869,0.13,0.174,0.217,0.261,0.304,0.347,0.391,0.434,0.478,0.521,0.565,0.608,0.652,0.695,0.738,0.782,0.825,0.869,0.912,0.956,0.999,1,,,,,,,,,,,,,,,,,,,,
13,I,1691,1730.69,1751.78,1721.66,1748.65,1738.56,1724.38,1738.54,1776.5,1776.19,1770.05,1754.99,1789.12,1705.93,1767.15,1759.33,1714.69,1702.7,1682.4,1665.09,1669.01,1657.08,1629.94,1622,,,,,,,,,,,,,,,,,,,,,
,ND,0,0.045,0.0901,0.135,0.18,0.225,0.27,0.315,0.36,0.405,0.45,0.495,0.54,0.585,0.631,0.676,0.721,0.766,0.811,0.856,0.901,0.946,0.991,1,,,,,,,,,,,,,,,,,,,,,
14,I,1552,1621.33,1637.08,1613.01,1640.97,1701.3,1648.91,1649.72,1630.17,1645.51,1691.69,1675.44,1625.43,1609.98,1650.24,1668.69,1666.42,1664.63,1704.86,1760.81,1694.95,1744.19,1731.45,1703.41,1616.3,1682.35,1681.98,1656.85,1606.98,1621.66,1633,,,,,,,,,,,,,,
,ND,0,0.0342,0.0685,0.103,0.137,0.171,0.205,0.24,0.274,0.308,0.342,0.377,0.411,0.445,0.479,0.514,0.548,0.582,0.616,0.651,0.685,0.719,0.753,0.788,0.822,0.856,0.89,0.924,0.959,0.993,1,,,,,,,,,,,,,,
15,I,1759,1771.99,1776.2,1835.11,1823.62,1879.1,1904.03,1984.48,1985.08,1897.15,1911.09,1905.26,1892.76,1922.96,1844.9,1888.01,1821.99,1811.27,1828.91,1805.27,1788.26,1756.28,1789.34,1752.37,1777.42,1709,,,,,,,,,,,,,,,,,,,
,ND,0,0.0405,0.081,0.121,0.162,0.202,0.243,0.283,0.324,0.364,0.405,0.445,0.486,0.526,0.567,0.607,0.648,0.688,0.729,0.769,0.81,0.85,0.891,0.931,0.972,1,,,,,,,,,,,,,,,,,,,
16,I,1558,1592.22,1593.57,1571.07,1611.23,1695.04,1744.22,1717.94,1699.67,1747.06,1748.55,1769.86,1774.43,1719.95,1701.1,1771.91,1807.78,1778.02,1804.98,1785.07,1789.63,1796.24,1690.79,1738.82,1646.51,1641.92,1700,,,,,,,,,,,,,,,,,,
,ND,0,0.039,0.0781,0.117,0.156,0.195,0.234,0.273,0.312,0.351,0.39,0.429,0.469,0.508,0.547,0.586,0.625,0.664,0.703,0.742,0.781,0.82,0.859,0.898,0.937,0.976,1,,,,,,,,,,,,,,,,,,
17,I,1611,1716.27,1748.95,1838.51,1921.22,1948.27,1871.97,1820.51,1815.77,1838.37,1818.4,1806.04,1829.58,1825.15,1851.57,1802.78,1819.15,1816.25,1818.97,1808.38,1858.35,1898.97,1874.08,1912.61,1882.66,1795.18,1846.91,1791.19,1683.62,1722.91,1578.29,1516.87,1510.83,1514.96,1478.57,1475.05,1484,,,,,,,,
,ND,0,0.0282,0.0564,0.0846,0.113,0.141,0.169,0.197,0.226,0.254,0.282,0.31,0.338,0.367,0.395,0.423,0.451,0.479,0.507,0.536,0.564,0.592,0.62,0.648,0.677,0.705,0.733,0.761,0.789,0.818,0.846,0.874,0.902,0.93,0.959,0.987,1,,,,,,,,
18,I,1506,1587.93,1639.87,1660.83,1614.8,1667.73,1694.37,1732.3,1664.66,1647.16,1671.39,1656.46,1673.11,1671.43,1724.79,1628.45,1614.99,1581.21,1681.42,1678.37,1580.75,1582.28,1594.78,1561.13,1585.35,1580.98,1585,,,,,,,,,,,,,,,,,,
,ND,0,0.0393,0.0786,0.118,0.157,0.196,0.236,0.275,0.314,0.354,0.393,0.432,0.471,0.511,0.55,0.589,0.629,0.668,0.707,0.746,0.786,0.825,0.864,0.904,0.943,0.982,1,,,,,,,,,,,,,,,,,,
19,I,1656,1686,1724,1795,1749,1764,1742,1732,1732,1755,1715,1764,1790,1789,1776,1778,1758,1705,1685,1648,1568,1589,1586,1565,,,,,,,,,,,,,,,,,,,,,
,ND,0,0.0435,0.087,0.13,0.174,0.217,0.261,0.304,0.348,0.391,0.435,0.478,0.522,0.565,0.609,0.652,0.696,0.739,0.783,0.826,0.87,0.913,0.957,1,,,,,,,,,,,,,,,,,,,,,
20,I,1421,1423.42,1361.67,1476.42,1442.83,1465.07,1435.42,1460.13,1527.75,1451.98,1406.92,1484.72,1481.21,1479.5,1427.39,1404.08,1407.06,1474.9,1490.73,1418.18,1513.63,1451.15,1495.63,1464.94,1510.41,1440.87,1454.78,1541.8,1438.48,1465.47,1452.37,1367.46,1366,,,,,,,,,,,,
,ND,0,0.0322,0.0645,0.0967,0.129,0.161,0.193,0.226,0.258,0.29,0.322,0.355,0.387,0.419,0.451,0.484,0.516,0.548,0.58,0.613,0.645,0.677,0.709,0.742,0.774,0.806,0.838,0.871,0.903,0.935,0.967,0.999,1,,,,,,,,,,,,
21,I,1768,1772.3,1897.74,1949.47,1987.77,1983.7,2058.77,2060.94,1974.95,1975.61,2013.3,2014.65,2021.3,2056.6,2013.36,1997.72,2012.56,1954.6,1964.79,1911.32,1908.65,1942.22,1907.79,1796.44,1789.02,1788,,,,,,,,,,,,,,,,,,,
,ND,0,0.041,0.0819,0.123,0.164,0.205,0.246,0.287,0.328,0.369,0.41,0.451,0.492,0.533,0.573,0.614,0.655,0.696,0.737,0.778,0.819,0.86,0.901,0.942,0.983,1,,,,,,,,,,,,,,,,,,,
22,I,2048,2091.63,2059.72,2119.51,2136.88,2195.76,2202.33,2212.87,2228.19,2222.32,2225.59,2271.87,2284.53,2222.01,2222.71,2265.53,2246.78,2205.44,2211.01,2133.54,2089.67,2078.11,2015,,,,,,,,,,,,,,,,,,,,,,
,ND,0,0.0464,0.0928,0.139,0.186,0.232,0.279,0.325,0.371,0.418,0.464,0.511,0.557,0.604,0.65,0.696,0.743,0.789,0.836,0.882,0.928,0.975,1,,,,,,,,,,,,,,,,,,,,,,
